osmId,osmType,name,address,district,phone,website,services,priceRange,rating,reviewsCount,latitude,longitude,source,sourceUrl,openingHours
9581502439,node,Ale Ładnie,,Bemowo,,,Hairdresser,Unknown,,,52.2300337,20.9022451,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/9581502439,
11687868130,node,Barber Shop Men,,Bemowo,,,Hairdresser,Unknown,,,52.2548656,20.9189795,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/11687868130,
9957384956,node,Barberyk,,Bemowo,,,Hairdresser,Unknown,,,52.2275613,20.8899926,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/9957384956,Mo-Fr 09:00-20:00; Sa 09:00-16:00
410385786,node,Beata,Powstańców Śląskich 69A,Bemowo,,,Hairdresser,Unknown,,,52.2355213,20.9137687,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/410385786,
8305643180,node,Beauty by Kate,,Bemowo,,,Beauty salon,Unknown,,,52.2285401,20.8903831,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/8305643180,
9957344585,node,Beauty Rosa,,Bemowo,+48224282482,,Beauty salon,Unknown,,,52.2219392,20.9166376,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/9957344585,Mo-Sa 09:00-20:00; PH off
11332432127,node,Beauty Studio Nice by Kalenska,,Bemowo,+48797787893,,Beauty salon,Unknown,,,52.2345517,20.8962661,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/11332432127,Mo-Su 10:00-20:00; PH off
9183809508,node,Candy Barber Shop,Powstańców Śląskich 61,Bemowo,,,Hairdresser,Unknown,,,52.2320604,20.9141954,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/9183809508,
11687999863,node,Cleo,,Bemowo,,,Beauty salon; Hair Removal;Hair;Nails;Skin Care,Unknown,,,52.2560605,20.9201141,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/11687999863,Mo-Fr 10:00-19:00; Sa 08:00-14:00; PH off
9004247467,node,Cut Cut,"Batalionów Chłopskich 74, 01-308 Warszawa",Bemowo,+48228280262,https://www.cutcut.com.pl,Hairdresser,Unknown,,,52.232,20.8962097,OpenStreetMap / Overpass API,https://www.openstreetmap.org/node/9004247467,Mo-Fr 10:00-21:00; Sa 09:00-15:00
